,Name,Price,Change,MarketCap,Volume24,Supply
0,Ethereum USD,"2,504.25",-272.52,291B,34.171B,116.202M
1,BinanceCoin USD,348.73,-51.37,53.507B,3.442B,153.433M
2,Dogecoin USD,0.324729,-0.049927,42.191B,3.609B,129.925B
3,USDCoin USD,1.0003,+0.0001,23.058B,2.317B,23.052B
4,Uniswap USD,23.37,-3.02,13.441B,518.682M,575.107M
5,BitcoinCash USD,581.84,-82.91,10.914B,2.257B,18.758M
6,Chainlink USD,24.00,-4.27,10.344B,1.566B,431.01M
7,HEX USD,0.056874,-0.003244,9.863B,25.728M,173.411B
8,THETA USD,8.7223,-0.4742,8.722B,790.173M,1B
9,VeChain USD,0.110606,-0.019213,7.114B,1.136B,64.316B
10,FilecoinFutures USD,75.86,-14.03,5.881B,1.449B,77.533M
11,EOS USD,4.9811,-0.9359,4.752B,1.908B,954.064M
